user_id,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
78517,Clothing_1134,Clothing_1368,Clothing_4833,Clothing_214,
52887,Clothing_820,Clothing_2415,Clothing_3293,Clothing_2456,
59395,Books_2809,Books_3911,Books_4197,Books_840,
54739,Groceries_2655,Groceries_2013,Groceries_1306,Furniture_407,
42723,Groceries_4527,Groceries_4763,Groceries_4792,Groceries_3683,
40720,Groceries_3848,Groceries_2786,Furniture_2263,Groceries_3989,
94827,Electronics_3141,Electronics_2939,Electronics_2790,Electronics_4014,
13826,Books_438,Books_4199,Books_2660,Books_1879,
10673,Furniture_65,Furniture_4161,Furniture_2881,Furniture_421,
25216,Clothing_716,Clothing_2282,Clothing_4868,Clothing_4280,
42831,Clothing_1246,Clothing_2973,Clothing_1070,Clothing_215,
73271,Groceries_3562,Groceries_2941,Groceries_1734,Groceries_4732,
61613,Books_1301,Books_3229,Books_99,Books_2738,
42136,Clothing_2951,Clothing_4603,Clothing_858,Clothing_566,
59394,Electronics_4055,Electronics_479,Electronics_4502,Electronics_4724,
19172,Books_2372,Books_2819,Books_791,Books_3870,
29756,Furniture_775,Furniture_4187,Furniture_1778,Furniture_4147,
91207,Groceries_3199,Groceries_4660,Groceries_4664,Furniture_4425,
96824,Clothing_3694,Clothing_183,Clothing_2377,Clothing_4321,
41198,Groceries_3670,Groceries_3447,Groceries_4956,Groceries_635,
30548,Furniture_4956,Groceries_4972,Furniture_4606,Groceries_1671,
45605,Groceries_4698,Groceries_538,Furniture_2651,Furniture_3599,
52488,Electronics_3242,Electronics_2834,Electronics_1255,Electronics_89,
96408,Electronics_4000,Groceries_4594,Furniture_1194,Furniture_880,
4718,Clothing_1841,Clothing_1132,Clothing_4420,Clothing_1614,
81726,Furniture_173,Furniture_606,Furniture_3810,Furniture_4549,
34702,Clothing_1044,Clothing_1819,Clothing_3235,Clothing_1119,
1681,Clothing_1113,Clothing_2519,Clothing_415,Clothing_460,
76481,Furniture_793,Furniture_4223,Furniture_2295,Furniture_2195,
31016,Electronics_3641,Electronics_840,Electronics_4384,Electronics_4486,
83418,Clothing_1506,Clothing_4630,Clothing_2550,Clothing_2276,
65918,Furniture_2521,Furniture_4523,Furniture_1340,Furniture_4836,
39952,Furniture_3121,Electronics_460,Furniture_1147,Furniture_669,
31172,Clothing_4398,Clothing_3587,Electronics_2255,Electronics_4922,
25167,Groceries_43,Groceries_2966,Groceries_542,Groceries_2651,
27200,Books_2567,Books_447,Books_97,Books_4579,
59858,Electronics_1509,Furniture_1487,Furniture_3115,Furniture_4551,
42122,Groceries_4381,Groceries_1201,Groceries_4239,Groceries_266,
68661,Groceries_1597,Furniture_4183,Groceries_4194,Furniture_4287,
54507,Books_632,Books_3024,Books_324,Books_2294,
68286,Clothing_558,Clothing_2500,Clothing_814,Clothing_4936,
24667,Clothing_3873,Clothing_674,Clothing_3113,Clothing_478,
5398,Clothing_2794,Clothing_3839,Clothing_1816,Clothing_927,
4074,Electronics_1951,Electronics_1829,Electronics_1816,Furniture_1313,
98185,Furniture_4012,Electronics_1489,Furniture_4468,Electronics_2169,
26510,Clothing_3522,Clothing_4039,Clothing_4435,Clothing_1439,
83275,Furniture_581,Groceries_2062,Furniture_2216,Groceries_231,
55216,Electronics_3470,Electronics_2341,Electronics_4026,Electronics_921,
40361,Electronics_311,Electronics_3886,Electronics_83,Electronics_1290,
35148,Furniture_1351,Groceries_4135,Furniture_4384,Groceries_2329,
8610,Furniture_4538,Furniture_1966,Furniture_3069,Furniture_20,
74369,Clothing_1838,Clothing_2282,Clothing_4868,Clothing_1078,
91238,Furniture_1146,Groceries_2396,Electronics_3505,Groceries_3306,
96387,Furniture_2863,Furniture_2036,Furniture_2177,Furniture_1340,
90351,Books_4023,Books_1959,Books_2786,Books_394,
81715,Groceries_3581,Furniture_3414,Groceries_3975,Groceries_3408,
2187,Electronics_847,Electronics_3937,Electronics_3761,Electronics_4957,
12965,Groceries_945,Furniture_1992,Furniture_1721,Groceries_4644,
57573,Groceries_2269,Groceries_1676,Groceries_3242,Groceries_461,
17741,Clothing_3352,Clothing_2922,Clothing_1668,Clothing_3423,
22797,Books_2125,Books_753,Books_1290,Books_2204,
59241,Furniture_1452,Furniture_3808,Furniture_2313,Groceries_4696,
47502,Furniture_2055,Furniture_1597,Groceries_3773,Groceries_463,
84508,Books_4197,Books_2737,Books_2526,Books_289,
27423,Groceries_2192,Furniture_4963,Groceries_4906,Furniture_458,
5359,Books_4283,Books_1439,Books_4908,Books_2250,
20463,Books_2664,Books_1752,Books_2238,Books_3202,
22324,Books_4383,Books_576,Books_1684,Books_3449,
22469,Clothing_750,Clothing_2479,Clothing_3822,Clothing_4743,
49837,Clothing_1635,Clothing_1204,Clothing_3375,Clothing_1045,
61574,Groceries_4457,Groceries_3442,Groceries_100,Furniture_4035,
14481,Electronics_2924,Electronics_772,Electronics_359,Electronics_1646,
8514,Electronics_2719,Electronics_2110,Electronics_3035,Electronics_2704,
3932,Furniture_1069,Electronics_3374,Electronics_3759,Furniture_856,
67685,Clothing_4305,Clothing_921,Clothing_4666,Clothing_2351,
39532,Furniture_3004,Groceries_4862,Groceries_498,Groceries_1136,
33939,Electronics_1965,Electronics_292,Electronics_4291,Electronics_2662,
36923,Furniture_3785,Furniture_847,Furniture_4797,Furniture_600,
4000,Clothing_1119,Clothing_2025,Clothing_781,Clothing_1922,
49740,Books_4944,Books_4712,Books_2596,Books_4806,
78931,Furniture_4996,Furniture_2719,Groceries_4186,Furniture_1959,
17722,Books_4196,Books_2542,Books_503,Books_3621,
87304,Electronics_1446,Electronics_3667,Electronics_3812,Electronics_1977,
39331,Electronics_2192,Electronics_1452,Furniture_4855,Furniture_2835,
73470,Groceries_790,Groceries_3911,Furniture_933,Groceries_3516,
57628,Electronics_4020,Electronics_3582,Electronics_1848,Electronics_1081,
14729,Clothing_2461,Clothing_537,Clothing_2531,Clothing_1263,
95553,Furniture_2821,Furniture_1458,Furniture_4572,Electronics_1731,
20710,Clothing_4667,Clothing_1949,Clothing_3819,Clothing_2847,
42205,Clothing_331,Clothing_3630,Clothing_3778,Clothing_2558,
86318,Furniture_4817,Electronics_2897,Furniture_3229,Electronics_2865,
77681,Clothing_156,Clothing_892,Clothing_1926,Clothing_4676,
32951,Books_992,Books_2761,Books_3473,Books_131,
40570,Books_89,Books_2018,Books_1715,Books_1191,
65034,Electronics_894,Electronics_1558,Clothing_3609,Electronics_3116,
47925,Clothing_2322,Clothing_1570,Clothing_1877,Clothing_1660,
95557,Groceries_2852,Furniture_1264,Groceries_2226,Groceries_790,
15181,Furniture_524,Electronics_4529,Groceries_3377,Groceries_2559,
10330,Books_2207,Books_3083,Books_2189,Books_3800,
61997,Books_1901,Books_2675,Books_1114,Books_870,
