user_id,user_age,user_income,user_membership,rating
1,26,193855.15,Free,5.0
4,56,145292.2,Platinum,5.0
9,50,141680.89,Platinum,4.0
11,20,113318.37,Silver,1.0
13,31,58402.76,Platinum,3.5
15,41,181873.11,Gold,3.5
16,35,82558.3,Silver,3.0
17,51,123357.45,Gold,5.0
18,30,153859.54,Silver,4.0
21,41,187366.91,Free,2.0
22,31,69949.59,Free,2.0
23,47,143603.86,Free,3.0
25,34,93609.34,Platinum,1.0
26,36,57194.71,Free,4.0
27,44,124022.1,Gold,4.0
32,54,199907.45,Free,2.5
33,27,197996.16,Silver,4.0
37,52,175155.34,Platinum,2.0
39,31,129956.3,Silver,1.5
45,47,64530.14,Gold,5.0
49,18,170377.51,Platinum,1.0
55,27,170540.16,Gold,2.75
56,40,155901.13,Platinum,5.0
58,65,136764.55,Free,4.0
61,38,31089.8,Gold,5.0
64,46,32125.35,Free,5.0
66,39,160639.85,Silver,2.0
68,30,189805.01,Gold,2.0
69,60,121161.26,Platinum,4.0
73,22,30850.79,Silver,3.0
76,56,91518.18,Free,3.0
77,60,178767.22,Silver,4.0
78,55,32102.41,Platinum,4.0
79,35,62892.43,Free,4.0
83,49,192176.92,Gold,2.0
84,59,88930.97,Platinum,2.0
87,32,141893.22,Free,2.0
89,28,27489.96,Platinum,4.0
90,41,69687.44,Silver,1.0
92,19,186272.38,Gold,5.0
93,48,64605.43,Silver,1.0
94,23,78652.98,Free,5.0
95,52,44457.52,Platinum,3.5
100,57,93959.2,Free,2.0
101,18,71642.82,Gold,5.0
105,31,93319.92,Free,3.0
107,41,111053.91,Free,3.0
111,53,87509.15,Platinum,5.0
112,21,133519.11,Gold,1.0
113,30,110381.41,Free,2.0
119,39,88481.74,Free,1.0
120,58,55423.05,Free,5.0
121,33,42925.68,Gold,4.5
122,40,64804.51,Gold,2.0
125,20,108655.55,Platinum,3.5
127,26,85800.16,Silver,3.0
128,28,80231.03,Free,3.6666666666666665
130,52,35325.57,Gold,5.0
132,41,80121.42,Silver,4.0
134,27,169136.94,Platinum,1.6666666666666667
141,46,177809.98,Platinum,5.0
142,31,158939.15,Silver,1.0
145,21,118825.71,Silver,1.0
146,39,197776.78,Platinum,3.5
147,48,85844.3,Gold,1.5
149,23,155353.87,Gold,3.0
151,44,102116.92,Free,2.0
152,25,79013.57,Platinum,3.0
155,32,72127.45,Silver,2.0
158,28,60332.31,Silver,5.0
159,18,173203.11,Gold,4.5
160,41,80114.44,Platinum,3.0
168,55,25272.57,Silver,3.0
171,18,114928.4,Platinum,3.0
174,46,133364.37,Platinum,2.0
176,65,189844.9,Gold,4.0
177,66,194647.78,Gold,4.0
178,62,118779.8,Free,4.0
179,57,36563.84,Platinum,2.5
180,19,199922.97,Free,4.0
181,20,86379.71,Platinum,4.0
182,37,65074.87,Silver,2.0
183,30,199432.05,Platinum,3.0
188,23,40092.13,Gold,5.0
189,59,186064.92,Platinum,4.0
192,63,41763.02,Silver,2.0
193,35,39610.42,Platinum,4.0
194,68,95203.39,Silver,5.0
196,59,150093.99,Gold,4.0
198,34,163164.8,Platinum,2.0
201,19,126914.19,Free,2.0
204,33,75628.06,Gold,2.0
207,56,190250.93,Platinum,2.0
208,52,162612.53,Free,1.0
210,20,31489.69,Gold,4.0
211,64,20746.34,Free,5.0
214,44,89329.61,Gold,3.0
216,57,94501.4,Silver,2.0
217,46,188583.84,Free,1.0
219,38,144798.53,Silver,1.0
220,69,117339.13,Gold,1.0
221,24,136898.94,Gold,5.0
222,30,135461.1,Gold,4.5
224,42,94456.41,Free,3.0
228,51,153213.33,Platinum,3.5
